occurred_at,event,anonymous_id,user_id,account_id,session_id,scale_id,assessment_id,report_id,channel,plan_tier,utm_source,utm_medium,utm_campaign,method,is_email_verified,status,format,generation_ms,device_type,locale,exp_onboarding_flow
2025-08-01T08:30:16Z,signup_completed,,u_01265,a_01265,s_6073e44e,,,,direct,pro,,,,email_password,True,,,,desktop,ca-ES,control
2025-08-01T08:35:16Z,select_scale,,u_01265,a_01265,s_6073e44e,sc_102,,,direct,pro,,,,,,,,,desktop,ca-ES,control
2025-08-01T08:39:03Z,signup_completed,,u_00983,a_00983,s_9db3a6f3,,,,email,business,,,,email_password,True,,,,mobile,ca-ES,control
2025-08-01T08:39:16Z,submit_assessment,,u_01265,a_01265,s_6073e44e,sc_102,as_abf76faaa1,,direct,pro,,,,,,started,,,desktop,ca-ES,control
2025-08-01T08:41:16Z,submit_assessment,,u_01265,a_01265,s_6073e44e,sc_102,as_abf76faaa1,,direct,pro,,,,,,in_progress,,,desktop,ca-ES,control
2025-08-01T08:51:16Z,submit_assessment,,u_01265,a_01265,s_6073e44e,sc_102,as_abf76faaa1,,direct,pro,,,,,,complete,,,desktop,ca-ES,control
2025-08-01T09:24:42Z,signup_completed,,u_00353,a_00353,s_b3900466,,,,organic,pro,,,,email_password,True,,,,desktop,en-US,control
2025-08-01T09:28:42Z,select_scale,,u_00353,a_00353,s_b3900466,sc_102,,,organic,pro,,,,,,,,,desktop,en-US,control
2025-08-01T09:28:42Z,submit_assessment,,u_00353,a_00353,s_b3900466,sc_102,as_11946fa97b,,organic,pro,,,,,,started,,,desktop,en-US,control
2025-08-01T09:39:42Z,submit_assessment,,u_00353,a_00353,s_b3900466,sc_102,as_11946fa97b,,organic,pro,,,,,,in_progress,,,desktop,en-US,control
2025-08-01T09:42:08Z,signup_completed,,u_01274,a_01274,s_782d4b94,,,,organic,business,,,,sso_google,True,,,,mobile,ca-ES,control
2025-08-01T09:46:08Z,select_scale,,u_01274,a_01274,s_782d4b94,sc_102,,,organic,business,,,,,,,,,mobile,ca-ES,control
2025-08-01T09:47:42Z,submit_assessment,,u_00353,a_00353,s_b3900466,sc_102,as_11946fa97b,,organic,pro,,,,,,complete,,,desktop,en-US,control
2025-08-01T09:57:30Z,signup_completed,,u_01071,a_01071,s_80fdc72a,,,,organic,pro,,,,email_password,True,,,,desktop,en-US,control
2025-08-01T09:58:30Z,select_scale,,u_01071,a_01071,s_80fdc72a,sc_102,,,organic,pro,,,,,,,,,desktop,en-US,control
2025-08-01T10:02:30Z,submit_assessment,,u_01071,a_01071,s_80fdc72a,sc_102,as_778bd03470,,organic,pro,,,,,,started,,,desktop,en-US,control
2025-08-01T10:05:30Z,submit_assessment,,u_01071,a_01071,s_80fdc72a,sc_102,as_778bd03470,,organic,pro,,,,,,in_progress,,,desktop,en-US,control
2025-08-01T10:05:30Z,submit_assessment,,u_01071,a_01071,s_80fdc72a,sc_102,as_778bd03470,,organic,pro,,,,,,complete,,,desktop,en-US,control
2025-08-01T10:07:26Z,signup_completed,,u_00775,a_00775,s_f242a4f9,,,,organic,free,,,,email_password,True,,,,mobile,en-US,control
2025-08-01T10:08:26Z,select_scale,,u_00775,a_00775,s_f242a4f9,sc_102,,,organic,free,,,,,,,,,mobile,en-US,control
2025-08-01T10:16:26Z,submit_assessment,,u_00775,a_00775,s_f242a4f9,sc_102,as_ca14338856,,organic,free,,,,,,started,,,mobile,en-US,control
2025-08-01T10:20:08Z,signup_completed,,u_00830,a_00830,s_a158dde4,,,,paid_search,free,,,,sso_google,True,,,,desktop,fr-FR,control
2025-08-01T10:21:08Z,select_scale,,u_00830,a_00830,s_a158dde4,sc_104,,,paid_search,free,,,,,,,,,desktop,fr-FR,control
2025-08-01T10:25:26Z,submit_assessment,,u_00775,a_00775,s_f242a4f9,sc_102,as_ca14338856,,organic,free,,,,,,in_progress,,,mobile,en-US,control
2025-08-01T10:26:26Z,submit_assessment,,u_00775,a_00775,s_f242a4f9,sc_102,as_ca14338856,,organic,free,,,,,,complete,,,mobile,en-US,control
2025-08-01T10:27:08Z,submit_assessment,,u_00830,a_00830,s_a158dde4,sc_104,as_68553793f7,,paid_search,free,,,,,,started,,,desktop,fr-FR,control
2025-08-01T10:28:08Z,submit_assessment,,u_00830,a_00830,s_a158dde4,sc_104,as_68553793f7,,paid_search,free,,,,,,in_progress,,,desktop,fr-FR,control
2025-08-01T10:33:26Z,generate_report,,u_00775,a_00775,s_f242a4f9,sc_102,as_ca14338856,r_042a98d256,organic,free,,,,,,,web,1488,mobile,en-US,control
2025-08-01T10:42:08Z,submit_assessment,,u_00830,a_00830,s_a158dde4,sc_104,as_68553793f7,,paid_search,free,,,,,,complete,,,desktop,fr-FR,control
2025-08-01T10:59:28Z,signup_completed,,u_01396,a_01396,s_b9f342a1,,,,email,business,,,,email_password,True,,,,desktop,es-ES,control
2025-08-01T11:00:28Z,select_scale,,u_01396,a_01396,s_b9f342a1,sc_104,,,email,business,,,,,,,,,desktop,es-ES,control
